City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
76,Constantia,44.1833,28.65,282.53,70,3,4.97,RO,2024-05-06
77,Soure,-0.7167,-48.5233,300.14,86,98,4.52,BR,2024-05-06
78,Vilyuchinsk,52.9306,158.4028,282.3,67,44,2.08,RU,2024-05-06
79,Nuuk,64.1835,-51.7216,269.49,58,2,8.23,GL,2024-05-06
80,Dul'Durga,50.6761,113.5931,287.25,50,29,2.23,RU,2024-05-06
81,Copiapo,-27.3667,-70.3333,283.98,56,26,1.2,CL,2024-05-06
82,Colonia,50.9333,6.95,287.02,82,0,1.03,DE,2024-05-06
83,Santiago De Cuba,20.0247,-75.8219,301.21,78,40,2.06,CU,2024-05-06
84,Walvis Bay,-22.9575,14.5053,287.68,88,0,3.09,NA,2024-05-06
85,Menongue,-14.6585,17.691,286.06,53,0,1.68,AO,2024-05-06
86,Hermanus,-34.4187,19.2345,286.93,70,8,5.34,ZA,2024-05-06
87,Kununurra,-15.7667,128.7333,301.14,39,27,7.72,AU,2024-05-06
88,Segarcea,44.1,23.75,286.3,71,11,0.57,RO,2024-05-06
89,Zvishavane,-20.3267,30.0665,287.0,66,0,1.1,ZW,2024-05-06
90,Rongelap,11.1635,166.8941,300.72,80,56,8.44,MH,2024-05-06
91,Shimoda,34.6667,138.95,295.35,77,100,4.66,JP,2024-05-06
92,Hobyo,5.3505,48.5268,301.88,69,100,4.99,SO,2024-05-06
93,Minas De Marcona,-15.2119,-75.1103,289.15,88,98,5.33,PE,2024-05-06
94,Susuman,62.7833,148.1667,273.7,61,73,1.34,RU,2024-05-06
95,Daru,-9.0763,143.2092,299.95,87,100,7.83,PG,2024-05-06
96,Ushuaia,-54.8,-68.3,275.96,87,100,7.72,AR,2024-05-06
97,Kargasok,59.0556,80.8572,275.91,69,100,4.47,RU,2024-05-06
98,Lautoka,-17.6167,177.4667,303.07,74,75,5.14,FJ,2024-05-06
99,Hammerfest,70.6634,23.6821,272.4,74,100,4.12,NO,2024-05-06
100,Thompson,55.7435,-97.8558,285.24,50,20,3.09,CA,2024-05-06
101,Southside,33.9245,-86.0225,295.21,97,0,0.0,US,2024-05-06
102,Vorgashor,67.5833,63.95,254.15,100,100,0.82,RU,2024-05-06
103,Praia Da Vitoria,38.7333,-27.0667,291.29,94,75,6.44,PT,2024-05-06
104,Khark,29.2614,50.3306,299.98,64,0,3.36,IR,2024-05-06
105,Invercargill,-46.4,168.35,282.6,68,91,4.47,NZ,2024-05-06
106,Udachny,66.4167,112.4,272.84,81,59,3.21,RU,2024-05-06
107,Mercedes,-34.6515,-59.4307,291.84,94,100,2.4,AR,2024-05-06
108,Barah,13.7,30.3667,299.92,7,0,3.9,SD,2024-05-06
109,Avarua,-21.2078,-159.775,300.18,89,75,4.63,CK,2024-05-06
110,Talnakh,69.4865,88.3972,264.53,76,100,2.41,RU,2024-05-06
